raw,translation,description
兵法——钱通鬼,Military Formation - Money-Penetrating Ghost,
兵贵神速,Speed is of the Essence,
内奸,Internal Traitor,
军令牌,Military Token,
军制,Military System,
军力,Military Might,
军力加持,Military Power Amplification,
军器,Military Armament,
军器祭典军营,Military Artifact Sacrificial Barracks,
军心,Military Heart,
军情,Military Intelligence,
军煞,baleful energy,
军煞之气,Military Vengeful Qi,
军种,Military Seed,
军籍簿,Military Registry,
军需,Military Logistics,
冥蛟,Nether Dragon,
冥蛟剪,Nether Dragon Scissors,
冥蛟剪影,Nether Dragon Silhouette,
冥蛟剪虚影,Nether Dragon Scissors Phantom,
冥蛟河,Underworld Flood Dragon River,
冥龙,Nether Dragon,
冰冲河,Ice Rush River,
冰棺,Ice Coffin,
冰法,Ice Technique,
冰窟,Ice Cavern,
冰魄针,Ice Soul Needles,
冻杀线,Frozen Kill Line,
净业司,Karma Cleansing Bureau,
凝衣诀,Condensing Garment Art,
分神,Divided Spirit,
分神镜,Divided Spirit Mirror,
刘关张,"Liu Er, Guan Hong, and Zhang Hei",
刺骨巨鳄,Spineback Colossus,
刺骨鳄,Bone-Piercing Crocodile,
前锋大将,Vanguard General,
剑修,Sword Cultivator,
剜心泣血烛,Heart-Rending Bloodshed Candle,
剥皮鬼,Flayed Ghosts,
剥魂爪,Soul-Stripping Claw,
剪刀法宝,Scissors Magic Treasure,
副城主,Vice City Lord,
功德,merit,
功法,Cultivation Art,
劫,Calamity,
劫灭佛意,Klesha Extinction Buddha Intent,
勾魂壁虎,Soul-Hooking Gecko,
勾魂引魄烛,Soul-Hooking Spirit-Guiding Candle,
化身,Transformation Body,
化骨边疆,Bone Transformation Frontier,
北鹿仙城,North Deer Immortal City,
十里焚林,Ten-Li Burning Forest,
千峰林,Thousand Peaks Forest,
千悲万叹骨胄,"Thousand Sorrows, Ten Thousand Sighs Bone Armor",
单厌,Shan Yan,#masculine
南城门,South City Gate,
南豆国,Southern Bean Kingdom,
南豆王室,Southern Bean Royal Family,
卜算之法,Divination Method,
卜算法门,Divination Art,
厚土,Abundant Earth,
厨老,Old Chef,#masculine
双修,Dual Cultivation,
反军,rebel army,
发妻,First Wife,#feminine
发愿术,Vow Art,
口诀,incantation,
司徒星,Situ Xing,#masculine
吊死鬼,Hanging Ghost,
同门,Fellow Sect Member,
后天,Acquired,
后天天资,Acquired Talent,
君子六艺,The Six Arts of the Gentleman,
周文衍,Zhou Wenyan,#masculine
命格,Fate Attribute,
咒杀阵,Cursed Kill Formation,
哀丝缠心藕,Grieving Silk Entwined Heart Lotus,
哭丧鬼,Wailing Ghost,#masculine
哭丧鬼将,Wailing Ghost General,
嗔怒火琉璃,Wrathful Fire Glazed Crystal,
噬灵阴蚯,Soul-Devouring Yin Earthworm,
噬魂宗,Soul Devouring Sect,
四鬼将,Four Ghost Generals,
国之重器,National Treasure,
国君,Monarch,
国器,National Artifact,
土地神,Land God,
土罩阵,Earth Shield Formation,
土行,Earth Element,
土行分神,Earth Aspect Incarnation,
土行法术,Earth Element Technique,
土行法禁,Earth Element Spell Restriction,
土行脾脏庙,Earth Element Spleen Temple,
土行重宝,Earth-Attribute Treasure,
圣焰,Holy Flame,
地府,Underworld Prefecture,
地府修士,Underworld Cultivator,
地气,Earth Qi,
地煞,Earthly Fiend,
地煞之力,Earth Fiend Power,
地煞之气,Earthly Fiend Qi,
地煞崩岩,Earth Fiend Collapsing Rock,
地煞流星,Earthly Fiend Meteor,
地煞浊秽分神,Earth Fiend Turbid Corruption Avatar,
地煞浊秽神,Earthly Fiend Turbid Filth God,#masculine
地相,Earthly Aspect,
地相阵,Earth Aspect Formation,
地相阵心,Earth Aspect Array Core,
地肺之气,Earth Lung Qi,
地肺呼吸,Earth Lung Breath,
地肺浊气,Earth Lung Turbid Qi,
地肺浊气涌障屏,Earth Lung Turbid Qi Surge Barrier,
地肺结核,Earth Lung Nodules,
坚冰仙城,Solid Ice Immortal City,
城主,City Lord,#feminine
城主分身,City Lord Clone,#feminine
城主大人,City Lord,#masculine
城主府,City Lord's Mansion,
城主本体,City Lord's Main Body,#feminine
城主纸人分身,City Lord's Paper Puppet Avatar,#feminine
城卫军,City Guard,
城卫军统领,City Guard Commander,
城投,City Projection,
城防,city defense,
城防令,City Defense Command,
墨池,Ink Pool,
墨池老儒,Old Scholar Zheng Shoumo of the Ink Pool,#masculine
墨河,Ink River,
壮士复还术,Hero's Return Technique,
壮阳药膏,Yang-Enhancing Ointment,
壮阳院,Vigorous Yang Manor,
夜游神,Night Wanderer,
夜游神术,Night Wanderer Divine Art,
大头鬼,Big-Headed Ghost,
大将,Great General,
大蛇镰,Great Serpent Scythe,
大阵,Grand Formation,
天力,Heavenly Power,
天地双鬼,Heaven and Earth Twin Ghosts,
天帷,Heavenly Veil,
天授符箓,Heaven-Granted Talisman,
天数,Heaven's Will,
天晶,Celestial Crystal,
天机,Heavenly Secrets,
天相,Heavenly Aspect,
天相阵,Heavenly Aspect Formation,
天相阵法,Celestial Phenomenon Formation,
天神契,Celestial God Contract,
天苍天,Heavenly Azure Heaven,
天谴,Divine Retribution,
天资,Innate Talent,
天资流溺忘返,Heavenly Gift of Drowning in No Return,
天道,Heavenly Dao,
天鬼,Heavenly Ghost,
天鬼化生奉劫大礼,Sky Ghost Transformation Sacrifice Ritual,
天鬼化生奉劫礼,Heavenly Ghost Transformation Sacrifice Ritual,
天鬼头盖骨,Heavenly Ghost Skull,
天鬼头骨,Heavenly Ghost Skull,
太上忘情,Supreme Emotionless Path,
太白金精,Great White Golden Essence,
太素,Great Primordial,
太素之气,Great Primordial Qi,
太素书生,Grand Primordial Scholar,#masculine
太素散形尺,Great Primordial Dispersal Scale,
太素雁回波,Great Primordial Goose Returning Wave,
奉劫大礼祭台,Great Tribulation Sacrifice Altar,
奉劫礼,Offering of Tribulation,
奉劫礼祭台,Offering of Calamity Altar,
奉劫祭台,Offering of Tribulation Altar,
女修,female cultivator,
妖修,Demon Cultivator,
妖宠,Demon Pet,
妖气,Demonic Qi,
娘,Mother,#feminine
孙宁,,#masculine
孙家,Sun Family,
孙家家老,Sun Clan Elder,
孙家族长,Leader of the Sun Clan,
孙家高层,Sun Clan High Council,
孙灵瞳,Sun Lingtong,#masculine
孙铁生,Sun Tiesheng,#masculine
孟师姐,Senior Sister Meng,
孟瑶音,Meng Yaoyin,#feminine
孢菌教,Spore Cult,
孢菌教祖,Spore Cult Patriarch,
孤鸿,Lone Wild Goose,
孤鸿衔烛,Lone Goose Carries Candle,
孤鸿衔烛破天帷,A Lone Goose Carries a Candle to Pierce the Heavens,
孽镜,Karmic Mirror,
宁家,Ning Clan,
宁拙,Ning Zhuo,#masculine
宁拙公子,Young Master Ning Zhuo,#masculine
宁拙娘亲,,#feminine
宁拙小友,Little Friend Ning Zhuo,#masculine
宁拙青掩,Ning Zhuoqingyan,
宗门,Sect,
定魄钓命钩,Soul-Fixing Life-Fishing Hook,
宝印,Precious Seal,
客星,Guest Star,
客星应照文枢北,A guest star should shine north of the Literary Pivot,
家老,Clan Elder,
寂灭佛,Nirvana Buddha,
寂灭佛体,Nirvana Buddha Body,
寂灭佛力,Silent Extinction Buddha Power,
寂灭佛头虚影,Nirvana Buddha Head Phantom,
寂灭佛影,Nirvana Buddha Shadow,
寂灭佛意,Silent Extinction Buddha Intent,
寂灭佛轮,Nirvana Buddha Wheel,
寂灭佛陀,Nirvana Buddha,
寂灭佛陀的神力,Silent Extinction Buddha's divine power,
寂灭佛陀虚影,Nirvana Buddha Phantom,
寂灭心法,Nirvana Heart Sutra,
寂灭禅意,Silent Extinction Zen,
寂灭禅经,Nirvana Zen Sutra,
寂灭禅音,Silent Nirvana Zen Sound,
寒渊冰棺,Cold Abyss Ice Coffin,
寒渊冰棺烛,Cold Abyss Ice Coffin Candle,
寒烟,Hanyun,#feminine
寒烟上人,Immortal Hanyan,#masculine
寒烟法体,Han Yan Dharma Body,
寒铁,Cold Iron,
封印法术,Sealing Spell,
射,Archery,
将士同盔,Ancient Shared - Battle Armor,
小乐,Xiao Le,
小头鬼,Small-Headed Ghost,
小孙,Little Sun,#feminine
小宁娘亲,Xiao Ning's mother,
小拙,Little Zhuo,#masculine
小鬼,Little Ghost,#masculine
小麻,Little Ma,#masculine
尘恶窟,Dust Evil Cave,
岩嵬鬼将,Rock Demon Ghost General,#masculine
崩岳拳,Mountain-Crushing Fist,
巡防修士,Patroling Cultivators,
巡防卫兵,Patrol Guards,
巨像,Colossus,
巨像宁拙,Colossus Ning Zhuo,#masculine
师姐,Senior Sister,#feminine
平笑面赌坊,Smiling Face Gambling House,
幽伶,Youling,
幽冥,Netherworld,
幽冥使节·戚白,Netherworld Envoy - Qi Bai,
幽冥草,Underworld Grass,
幽影锋刃・夜虎,Shadow Blade Night Tiger,
幽影锋刃·夜虎,Shadow Blade Night Tiger - Yehu,
幽影鬼将,Shadow Ghost General,#masculine
幽戮爪,Nether Slaughter Claw,
庚金之气,Geng Metal Qi,
庚金暴风,Geng Metal Storm,
府主,Prefect,
府君,Prefecture Lord,#masculine
府君之座,,
府君印,Lord's Seal,
府君印玺,Lord's Seal,
府君大人,Lord Prefect,#masculine
府君渊海,Lord Abyss Sea,#masculine
开山长斧,Mountain-Cleaving Long Axe,
异火,Strange Fire,
引魂幡,Soul-Guiding Banner,
弱水,Weak Water,
归军,Returning Army,
归墟,Void Return,
归墟指,Void Return Finger,
归墟指力,Netherworld Finger Force,
归墟黑球,Void Return Black Sphere,
归寂曲径,Path of Returning to Silence,
归寂曲径烛,Return to Silence Path Candle,
归寂曲径烛体,Path of Returning Stillness Candle Body,
归程军,Return Journey Army,
影遁,Shadow Escape,
影遁术,Shadow Evasion Technique,
御,Charioteering,
心印,Heart Seal,
心魔,Heart Demon,
心魔劫,Heart Demon Tribulation,
心魔印,Heart Demon Seal,
忘川,Forgetful,
忘川之水,Waters of the Forgetful River,
忘川仙城,Forgetful River Immortal City,
忘川仙府,Wangchuan Immortal Manor,
忘川历,Wangchuan Era,
忘川国力,Wangchuan national power,
忘川地府,Forgetful River Prefecture,
忘川府,Forgetful River Prefecture,
忘川府君,Forgetful River Prefecture Lord,
忘川府君印,Lord of Wangchuan Seal,
忘川府君的本体,Lord Wangchuan's true form,
忘川引渡线,Netherworld Ferrying Line,
忘川支流,Branch of the Wangchuan River,
忘川水,Forgetful River Water,
忘川水勇,Wangchuan Water Warrior,
忘川水滴,Wangchuan Water Droplets,
忘川河,Forgetful River,
忘川涡眼,River of Oblivion Vortex Eye,
忘川禁军,Forgetful River Forbidden Army,
忘川魂流,Forgetful River Soul Stream,
忘情引,Oblivion's Guidance,
忘情渡,Forgetful Crossing,
忘情渡口,Forgetful Crossing,
思渊鬼将,Si Yuan Ghost General,#masculine
怨婴巷,Resentful Infant Alley,
怨毒瘴花,Resentful Poisonous Miasma Flower,
怪道,Strange Path,
恶蛟,Evil Flood Dragon,
悲歌逆流,Sorrowful Song Against the Tide,
悲骨,Bei Gu,
悲骨娘娘,Lady of Sorrowful Bones,#feminine
悲骨小娘子,Lady of Sorrowful Bones,#feminine
悲骨穿心,Sorrowful Bone Pierces the Heart,
惧魄寒晶,Fearful Soul Cold Crystal,
戊土,Wutu,
成道,,
我佛,My Buddha,
我佛心魔印,Buddha Heart Demon Seal,
战靴,Combat Boots,
执念铁,Obsessive Iron,
承兵负煞术,Burden-Bearing Tactics,
投笔从戎,Cast Aside the Brush for the Sword,
护城大阵,City-Protecting Formation,
拘澜阵,Restraining Wave Formation,
招安合同纲,Provisional Contract for Enlistment,
接天连地二相阵,Heaven-Connecting Earth-Linking Two-Phase Formation,
接天连地大阵,Heaven-Connecting Earth-Linking Grand Formation,
揭语,Revealing Word,
操舟十则,Ten Rules of Boat Handling,
数,Mathematics,
文光映雪囊,Literary Light Reflecting Snow Pouch,
文宝,literary treasure,
文心护体,Literary Heart Protection,
文房四宝,Four Treasures of the Study,
文才,Literary Talent,
文枢,Literary Pivot,
文气,Literary Qi,
文道,Literary Path,
断肠悲鸣笛,Heartrending Lament Flute,
断龙峡,Dragon-Severing Gorge,
新军,New Army,
无头骑兵,Headless Cavalry,
无头鬼骑,Headless Ghost Riders,
无头鬼骑兵,Headless Ghost Cavalry,
无头鬼骑军,Headless Ghost Cavalry,
无妄真露,Innocent True Dew,
无妄道场,Innocent Dao Field,
无形枢纽,Formless Pivot,
无心渡,Heartless Crossing,
无音,Wuyin,
无音僧,Soundless Ghost Monk,
无音鬼僧,Soundless Ghost Monk,#masculine
星光,starlight,
星轨,Stellar Tracks,
春秋,Spring and Autumn,
春秋书,Spring and Autumn Tome,
曲径,Curved Path,
曲径传送,Warping Path,
曲径撤军,Curved Path Retreat,
曾前辈,Senior Zeng,#masculine
曾师长,Senior Zeng,#masculine
曾积德,Zeng Jide,#masculine
曾缺德,Zeng Que De,#masculine
曾老,Old Zeng,#masculine
月影露,Moonshadow Dew,
月漪,Yueyi,#feminine
月漪前辈,Senior Yueyi,#feminine
月辉,moonlight,
木中火,Fire Within Wood,
木行——根藤缠绕,Wood Element - Root and Vine Entanglement,
木行法术,Wood Element Spells,
木行肝脏庙,Wood Element Liver Temple,
本体,True Form,
本命佛轮,Lifebound Buddha Wheel,
本命法宝,Lifebound Treasure,
本命精血,vital essence blood,
本源,Origin,
本源魂血,Primordial Soul Blood,
朱砂,Cinnabar,
机关,Mechanism,
机关——幽戮爪!,Mechanism - Shadow Slaughter Claws!,
机关——苍铁汉甲,Automaton - Azure Iron Han Armor,
机关人偶,Mechanical Puppet,
机关令牌,Automaton Token,
机关功法,Mechanical Art Manual,
机关台座,Mechanism Platform,
机关宝镜,Mechanical Treasure Mirror,
机关戒指,Mechanism Ring,
机关战甲,Mechanical Battle Armor,
机关指环,Mechanism Ring,
机关游龙,Mechanical Dragon,
机关造物,mechanical constructs,
机关金燕,Mechanical Golden Swallow,
机关镜子,Mechanical Mirrors,
李前辈,Senior Li,#masculine
李向上,Li Xiangshang,#masculine
李向上大人,Lord Li Xiangshang,#masculine
束魂索,Soul-Binding Rope,
杨三眼,Yang Sanyan,#masculine
杨伟达,Yang Weida,#masculine
杨兄,Brother Yang,#masculine
杨温宁,"Yang Sanyan, Wen Ruanyu, and Ning Zhuo",#masculine
枯寂佛陀,Withered Silent Buddha,
枯荣同悲,"Withered Glory, Shared Sorrow",
枯荣火环,Wither-Bloom Fire Ring,
枯骨死卒,Withered Bone Dead Soldiers,
止歌断舞,"Cease Song, Sever Dance",
正道,Righteous Path,
武术,Martial Art,
武者,Martial Artist,
死卒,Dead Soldier,
死气,Death Qi,
死骨巨灵,Dead Bone Giant Spirit,
残月大刀,Crescent Moon Greatsword,
残魄,Remnant Soul,
气,Qi,
气团,Qi Orb,
气数,Qi Luck,
气数之子,Son of Destiny,
气数之法,Fate Arts,
气数之道,Destiny Dao,
气运之子,Child of Destiny,
水寨,Water Fortress,
水葬谷,Water Burial Valley,
水葬谷主,Valley Master of Water Burial,#masculine
水蛟,Water Dragon,
水行,Water Element,
水行——漩盾返,Water Element - Vortex Shield Return,
水行分神,Water-Attribute Divine Incarnation,
水行法术,Water Element Spells,
水行罪孽之宝,Water-attribute Sinful Treasure,
水行肾脏庙,Water Element Kidney Temple,
水鬼,water ghost,
水鬼潮,Water Ghost Tide,
永劫冰狱,Eternal Ice Hell,
汉甲覆体,Han Armor Covers the Body,
沈冰,Shen Bing,#masculine
沈玺,Shen Xi,#masculine
沉铁,Sinking Iron,
法,Method,
法力,spiritual energy,
法器,Magic Artifact,
法地侣财,"Technique, Land, Companion, Resources",
法宝,magic treasure,
法术,Spell,
法阵,Formation,
洗心革面,Heart Cleansing and Reform,
洞天福地,Blessed Grotto-Heavens,
流云砂,Flowing Cloud Sand,
浊光,Turbid Light,
浊气,turbid qi,
浊气天幕,Turbid Qi Sky Curtain,
浊气巨瘴,Massive Turbid Qi Miasma,
浊气障壁,Turbid Qi Barrier,
浊瘴,Turbid Miasma,
浊神,turbid god,
浊秽神,Turbid Filth God,#masculine
清光,Pure Light,
清白之光,light of purity,
渊,Abyss,
渊思鬼将,Abyssal Contemplation Ghost General,
渊流,Abyssal Current,
渡舟老朽,Old Ferryman,
渡阴术,Yin Crossing Technique,
渡魂灯芯,Soul-Crossing Lampwick,
温前辈,Senior Wen,#masculine
温周,Wen Zhou,#masculine
温大人,Lord Wen,#masculine
温软玉,Wen Ruanyu,#masculine
温软玉大人,Lord Wen Ruanyu,#masculine
游离神,Wandering God,
游离道场,Wandering Dao Field,
游离鬼将,Wandering Ghost General,#masculine
游离鬼神,Wandering Ghost God,
溺亡军,Drowned Army,
溺死河流,Drowning River,
溺死鬼,Drowned Ghost,
滚泥丸,Rolling Mud Pill,
火冠神杉,Fire Crown Divine Cedar,
火柿仙城,Fire Persimmon Immortal City,
火烛,Fire Candle,
火种,Fire Seed,
火粮,Fire Grain,
火粮仓,Fire Grain Depot,
火良田,Fire Good Fields,
火葬般若解灵经,Cremation Prajna Spirit Release Sutra,
火行,Fire Element,
火行——九天火龙术,Fire Attribute - Nine Heavens Fire Dragon Technique,
火行心脏庙,Fire Element Heart Temple,
火行法术,Fire Element Spells,
火行法门,Fire Element cultivation methods,
火魄炼狱,Fire Soul Purgatory,
火龙,Fire Dragon,
火龙术,Fire Dragon Technique,
灯笼鬼,Lantern Ghost,
灰尘鳄,Dust Crocodile,
灰骨前辈,Senior Greybone,#masculine
灰骨老人,Ash Bone Elder,#masculine
灰骨老前辈,Senior Greybone,#masculine
灵光,spiritual light,
灵厨,Spirit Chef,
灵厨老者,Spirit Chef,#masculine
灵契炼宝阵,Spirit Contract Treasure Refining Formation,
灵性,spiritual energy,
灵感,Inspiration,
灵机,spiritual intuition,
灵柩,Spirit Coffin,
灵石,Spirit Stone,
灵神术,Spirit God Art,
灵风,spiritual wind,
灵食,Spirit Food,
炎流寂土,Blazing Current Barren Land,
炼器师,Artifact Refiner,
烛芯,Candlewick,
焦兄,Brother Jiao,#masculine
焦家,Jiao Clan,
焦家修士,Jiao Clan cultivator,
焦尾鬼纹琴,Burnt-Tail Ghost-Patterned Qin,
焦骨莲台,Scorched Bone Lotus Throne,
焦麻,Jiao Ma,#masculine
焦麻(宁拙),Jiao Ma (Ning Zhuo),#masculine
焦麻之父,Jiao Ma's father,#masculine
焦麻公子,Young Master Jiao Ma,#masculine
焦麻和青炽,Jiao Ma and Qing Chi,
焦麻少爷,Young Master Jiao Ma,#masculine
焦麻父亲,Father Jiao Ma,#masculine
焦麻生,Jiao Masheng,#masculine
焦麻生父,Jiao Ma's biological father,#masculine
煞之气,Demonic Qi,
煞针,Demonic Needle,
熔岩仙宫,Lava Immortal Palace,
牛骑兵,ox cavalry,
狂策黑马,Mad Strategy Black Steed,
独有神名,Unique Divine Name,
猩红,Scarlet,
猩红鬼将,Scarlet Ghost General,#feminine
玄冥之水,Profound Netherwater,
玄冥水蛟,Profound Nether Water Dragons,
玄冥银球,Profound Nether Silver Orb,
玄冰,Profound Ice,
玄机妙能,,
玄素书生,Profound Primordial Scholar,#masculine
玄金斩,Mystic Gold Slash,
玄针,Profound Needle,
玄铁,Profound Iron,
玄铁胸甲,Mystic Iron Breastplate,
玄阴寒潮,Profound Yin Cold Tide,
玉版,Jade Tablet,
玉牌,Jade Token,
玉简,Jade Slip,
玉面罗刹,Jade-Faced Rakshasa,#feminine
王命,Royal Mandate,
琉璃,Glazed,
琉璃瓦,glazed tile,
琉璃脉络,glazed meridians,
琴棋书画,The Four Arts of the Scholar,
男妃,Male Consort,
画皮,Painted Skin,
画皮罗刹,Painted Skin Rakshasa,#feminine
瘴墙,Miasma Wall,
白尾荡,White Tail Marsh,
学徒,Apprentice
工匠,Artisan
名师,Renowned Master
小师,Master
宗师,Grandmaster
白纸,White Paper,
白纸仙城,White Paper Immortal City,
白纸仙城城主,White Paper Immortal City Lord,
白纸分身,White Paper Clone,#feminine
白纸危,White Paper Peril,
白纸城主,White Paper City Lord,#feminine
白纸城墙,White Paper City Wall,
白虎破军阵,White Tiger Shattering Army Formation,
白虎金光印,White Tiger Golden Light Seal,
白首龙君,White-Haired Dragon Sovereign,#masculine
白骨巨鳄,Giant Bone Crocodile,
白骨舰队,White Bone Fleet,
白骨船队,White Bone Fleet,
白骨鳄魔,White Bone Crocodile Demon,#masculine
百年诡计,century-long scheme,
百鬼抬棺图,Hundred Ghosts Carrying the Coffin,
百鬼毒囊,Hundred Ghosts Poison Pouch,
百鬼老母,Mother of a Hundred Ghosts,#feminine
盗圣,Sage of Thieves,
盗帖,Theft Notice,
盗术,Theft Path Methods,
盗术——影遁!,Thieving Art - Shadow Escape!,
盗门,Thief Sect,
盘丝娘子,Lady Spiderweb,#feminine
真传,True Inheritor,
真传弟子,True Inheritance Disciple,
碎镜诡母,Shattered Mirror Mother,
磷火,phosphorus fire,
礼,Rites,
神佛,Divine Buddha,
神力,Divine Power,
神契,Divine Contract,
神意,Divine Intent,
神捕,Divine Constable,
神旨,Divine Edict,
神明,God,
神明道场,Divine Domain,
神术,Divine Art,
神海,divine sea,
神海丹田,Divine Sea Dantian,
神识,divine sense,
神通,Divine Art,
神通人命悬丝,Divine Technique: Life Hanging by a Thread,
神驾战车,Divine Chariot,
神魂,Divine Soul,
祭,Sacrifice,
祭典,Ritual,
祭典兵营,Ceremonial Barracks,
祭典军营,Ceremonial Barracks,
祭台,Sacrificial Altar,
祭台战场,Altar Battlefield,
祭台核心,Core of the Altar,
祭品,Sacrificial Offering,
祭坛,Altar,
祭文,Sacrificial Text,
祭礼,Sacrificial Rite,
禁军,Imperial Guard,
禁军统将,Imperial Guard Commander,
离火,Separation Fire,
离火吐舌阵,Li Fire Tongue Array,
秀才遇兵,Scholar Meets Soldier,
空,Void,
空回槎,Void Return Raft,
空寂,Void Stillness,
空识月魄,Void Awareness Moon Soul,
空间风暴,Spatial Storm,
穿空梭铁,Void-Piercing Shuttle Iron,
童子功,Virgin Boy Art,
笔墨纸砚,"brush, ink, paper, and inkstone",
符文,Rune,
符箓,talisman,
符篆,talisman,
符纸,Talisman Paper,
符钱,Talisman Coin,
精铁,Refined Iron,
红花营,Red Flower Camp,
纸人,Paper Person,
纸人傀儡,Paper Puppet,
纸人分身,Paper Doll Clone,#feminine
纸人巨像,Paper Giant,
纸扎匠师,Papercraft Artisan,
纸甲,Paper Armor,
